County,Total_Population
"Alachua County, Florida",278468
"Baker County, Florida",28259
"Bay County, Florida",175216
"Bradford County, Florida",28303
"Brevard County, Florida",606612
"Broward County, Florida",1944375
"Calhoun County, Florida",13648
"Charlotte County, Florida",186847
"Citrus County, Florida",153843
"Clay County, Florida",218245
"Collier County, Florida",375752
"Columbia County, Florida",69698
"DeSoto County, Florida",33976
"Dixie County, Florida",16759
"Duval County, Florida",995567
"Escambia County, Florida",321905
"Flagler County, Florida",115378
"Franklin County, Florida",12451
"Gadsden County, Florida",43826
"Gilchrist County, Florida",17864
"Glades County, Florida",12126
"Gulf County, Florida",14192
"Hamilton County, Florida",14004
"Hardee County, Florida",25327
"Hendry County, Florida",39619
"Hernando County, Florida",194515
"Highlands County, Florida",101235
"Hillsborough County, Florida",1459762
"Holmes County, Florida",19653
"Indian River County, Florida",159788
"Jackson County, Florida",47319
"Jefferson County, Florida",14510
"Lafayette County, Florida",8226
"Lake County, Florida",383956
"Lee County, Florida",760822
"Leon County, Florida",292198
"Levy County, Florida",42915
"Liberty County, Florida",7974
"Madison County, Florida",17968
"Manatee County, Florida",399710
"Marion County, Florida",375908
"Martin County, Florida",158431
"Miami-Dade County, Florida",2701767
"Monroe County, Florida",82874
"Nassau County, Florida",90352
"Okaloosa County, Florida",211668
"Okeechobee County, Florida",39644
"Orange County, Florida",1429908
"Osceola County, Florida",388656
"Palm Beach County, Florida",1492191
"Pasco County, Florida",561891
"Pinellas County, Florida",959107
"Polk County, Florida",725046
"Putnam County, Florida",73321
"St. Johns County, Florida",273425
"St. Lucie County, Florida",329226
"Santa Rosa County, Florida",188000
"Sarasota County, Florida",434006
"Seminole County, Florida",470856
"Sumter County, Florida",129752
"Suwannee County, Florida",43474
"Taylor County, Florida",21796
"Union County, Florida",16147
"Volusia County, Florida",553543
"Wakulla County, Florida",33764
"Walton County, Florida",75305
"Washington County, Florida",25318
